time,step,current,voltage,chgAh,disAh
81994,1,0.0,2.7542,0.0,0.0
82004,1,0.0,2.7601,0.0,0.0
82014,1,0.0,2.7638,0.0,0.0
82024,1,0.0,2.7672,0.0,0.0
82034,1,0.0,2.7703,0.0,0.0
82044,1,0.0,2.7728,0.0,0.0
82054,1,0.0,2.7752,0.0,0.0
82064,1,0.0,2.7774,0.0,0.0
82074,1,0.0,2.7793,0.0,0.0
82084,1,0.0,2.7811,0.0,0.0
82094,1,0.0,2.7833,0.0,0.0
82104,1,0.0,2.7852,0.0,0.0
82114,1,0.0,2.7867,0.0,0.0
82124,1,0.0,2.7883,0.0,0.0
82134,1,0.0,2.7901,0.0,0.0
82144,1,0.0,2.7917,0.0,0.0
82154,1,0.0,2.7932,0.0,0.0
82164,1,0.0,2.7945,0.0,0.0
82174,1,0.0,2.7957,0.0,0.0
82184,1,0.0,2.7976,0.0,0.0
82194,1,0.0,2.7988,0.0,0.0
82204,1,0.0,2.8,0.0,0.0
82214,1,0.0,2.8013,0.0,0.0
82224,1,0.0,2.8022,0.0,0.0
82234,1,0.0,2.8035,0.0,0.0
82244,1,0.0,2.8047,0.0,0.0
82254,1,0.0,2.8059,0.0,0.0
82264,1,0.0,2.8072,0.0,0.0
82274,1,0.0,2.8081,0.0,0.0
82284,1,0.0,2.8093,0.0,0.0
82294,1,0.0,2.8103,0.0,0.0
82304,1,0.0,2.8112,0.0,0.0
82314,1,0.0,2.8121,0.0,0.0
82324,1,0.0,2.8134,0.0,0.0
82334,1,0.0,2.8143,0.0,0.0
82344,1,0.0,2.8152,0.0,0.0
82354,1,0.0,2.8162,0.0,0.0
82364,1,0.0,2.8171,0.0,0.0
82374,1,0.0,2.818,0.0,0.0
82384,1,0.0,2.819,0.0,0.0
82394,1,0.0,2.8199,0.0,0.0
82404,1,0.0,2.8208,0.0,0.0
82414,1,0.0,2.8218,0.0,0.0
82424,1,0.0,2.8227,0.0,0.0
82434,1,0.0,2.8236,0.0,0.0
82444,1,0.0,2.8242,0.0,0.0
82454,1,0.0,2.8249,0.0,0.0
82464,1,0.0,2.8258,0.0,0.0
82474,1,0.0,2.8267,0.0,0.0
82484,1,0.0,2.8273,0.0,0.0
82494,1,0.0,2.8283,0.0,0.0
82504,1,0.0,2.8292,0.0,0.0
82514,1,0.0,2.8301,0.0,0.0
82524,1,0.0,2.8307,0.0,0.0
82534,1,0.0,2.8314,0.0,0.0
82544,1,0.0,2.8323,0.0,0.0
82554,1,0.0,2.8329,0.0,0.0
82564,1,0.0,2.8335,0.0,0.0
82574,1,0.0,2.8342,0.0,0.0
82584,1,0.0,2.8351,0.0,0.0
82594,1,0.0,2.8357,0.0,0.0
82604,1,0.0,2.8366,0.0,0.0
82614,1,0.0,2.8373,0.0,0.0
82624,1,0.0,2.8379,0.0,0.0
82634,1,0.0,2.8388,0.0,0.0
82644,1,0.0,2.8394,0.0,0.0
82654,1,0.0,2.8397,0.0,0.0
82664,1,0.0,2.8407,0.0,0.0
82674,1,0.0,2.8413,0.0,0.0
82684,1,0.0,2.8419,0.0,0.0
82694,1,0.0,2.8425,0.0,0.0
82704,1,0.0,2.8428,0.0,0.0
82714,1,0.0,2.8438,0.0,0.0
82724,1,0.0,2.8444,0.0,0.0
82734,1,0.0,2.845,0.0,0.0
82744,1,0.0,2.8456,0.0,0.0
82754,1,0.0,2.8462,0.0,0.0
82764,1,0.0,2.8469,0.0,0.0
82774,1,0.0,2.8475,0.0,0.0
82784,1,0.0,2.8481,0.0,0.0
82794,1,0.0,2.8487,0.0,0.0
82804,1,0.0,2.849,0.0,0.0
82814,1,0.0,2.8497,0.0,0.0
82824,1,0.0,2.8503,0.0,0.0
82834,1,0.0,2.8506,0.0,0.0
82844,1,0.0,2.8515,0.0,0.0
82854,1,0.0,2.8521,0.0,0.0
82864,1,0.0,2.8528,0.0,0.0
82874,1,0.0,2.8534,0.0,0.0
82884,1,0.0,2.8537,0.0,0.0
82894,1,0.0,2.8543,0.0,0.0
82904,1,0.0,2.8546,0.0,0.0
82914,1,0.0,2.8552,0.0,0.0
82924,1,0.0,2.8559,0.0,0.0
82934,1,0.0,2.8562,0.0,0.0
82944,1,0.0,2.8568,0.0,0.0
82954,1,0.0,2.8571,0.0,0.0
82964,1,0.0,2.8577,0.0,0.0
82974,1,0.0,2.8583,0.0,0.0
82984,1,0.0,2.8586,0.0,0.0
82994,1,0.0,2.8593,0.0,0.0
83004,1,0.0,2.8602,0.0,0.0
83014,1,0.0,2.8605,0.0,0.0
83024,1,0.0,2.8608,0.0,0.0
83034,1,0.0,2.8614,0.0,0.0
83044,1,0.0,2.8617,0.0,0.0
83054,1,0.0,2.8624,0.0,0.0
83064,1,0.0,2.8627,0.0,0.0
83074,1,0.0,2.8633,0.0,0.0
83084,1,0.0,2.8636,0.0,0.0
83094,1,0.0,2.8642,0.0,0.0
83104,1,0.0,2.8645,0.0,0.0
83114,1,0.0,2.8648,0.0,0.0
83124,1,0.0,2.8655,0.0,0.0
83134,1,0.0,2.8658,0.0,0.0
83144,1,0.0,2.8664,0.0,0.0
83154,1,0.0,2.8667,0.0,0.0
83164,1,0.0,2.867,0.0,0.0
83174,1,0.0,2.8679,0.0,0.0
83184,1,0.0,2.8683,0.0,0.0
83194,1,0.0,2.8689,0.0,0.0
83204,1,0.0,2.8692,0.0,0.0
83214,1,0.0,2.8695,0.0,0.0
83224,1,0.0,2.8701,0.0,0.0
83234,1,0.0,2.8704,0.0,0.0
83244,1,0.0,2.8707,0.0,0.0
83254,1,0.0,2.871,0.0,0.0
83264,1,0.0,2.8717,0.0,0.0
83274,1,0.0,2.872,0.0,0.0
83284,1,0.0,2.8723,0.0,0.0
83294,1,0.0,2.8726,0.0,0.0
83304,1,0.0,2.8732,0.0,0.0
83314,1,0.0,2.8735,0.0,0.0
83324,1,0.0,2.8738,0.0,0.0
83334,1,0.0,2.8741,0.0,0.0
83344,1,0.0,2.8748,0.0,0.0
83354,1,0.0,2.8754,0.0,0.0
83364,1,0.0,2.8757,0.0,0.0
83374,1,0.0,2.876,0.0,0.0
83384,1,0.0,2.8763,0.0,0.0
83394,1,0.0,2.8769,0.0,0.0
83404,1,0.0,2.8772,0.0,0.0
83414,1,0.0,2.8776,0.0,0.0
83424,1,0.0,2.8779,0.0,0.0
83434,1,0.0,2.8782,0.0,0.0
83444,1,0.0,2.8788,0.0,0.0
83454,1,0.0,2.8788,0.0,0.0
83464,1,0.0,2.8794,0.0,0.0
83474,1,0.0,2.8797,0.0,0.0
